0,"2020 - the year of the so-called deadly plague that has stripped us of all our freedoms, destroyed our livelihoods and cast a shadow of deep despair across the country. Yet the death stats for that year are no different from any any other since 1990. 
#England #Wales #COVID19 https://t.co/lM7RnCVlmM",0,,,,,
1,"Announcing successful completion of volunteer enrolment for Phase-3 Clinical trials of COVAXINᵀᴹ.

#BharatBiotech #COVAXIN #clinicaltrials #Covid19 #CovidVaccine #phase3 https://t.co/lIdXVpstDK",0,,,,,
2,"35 new COVID19 cases, 47 recovered cases &amp; 1 death reported in Puducherry today.

Total number of cases: 38,369
Total active cases: 359
Total recovered cases: 37,374
Death toll: 636 https://t.co/mDAeZRvcXB",0,,,,,
3,"AN OPEN LETTER TO PM-8

* Beyond 'lockdowns', Pls form the COVID19 Task Force of 'Subject-Matter Experts' Urgently, as to Steer the nation out of this 3rd-Wave Disaster

Its Oversight role is to ensure these 10 Critical Actions implemented &amp; review-audit Health-Economics lmpact. https://t.co/yxrY2Pllzn",0,,,,,
4,"If you are a Trader, go with Trend.
If you are an Investor, go against the Trend.

That is what Great Recession of 2008 and Corona Virus is 2020 taught us.",0,,,,,
5,"While the fans of #ThalaAjith are eagerly awaiting any sort of updates from the producer of #Valimai, reports are that #Ajith has sent a strict message to the 'makers to not release the film until the #COVID19 pandemic comes under control.

https://t.co/mxQabDtfAq",0,,,,,
6,"""Containment &amp; physical distancing measures have contributed to an increased recognition of the importance of #publicspace as a gathering place &amp; key tools for meeting people’s basic needs."" #COVID19 @UrbanBetter @cameron_an @rideyourcity https://t.co/MPgLXzjAmr",0,,,,,
7,OH MY GOD,0,,,,,
8,RT @ANI: PIL filed in Delhi High Court seeking the removal of mobile caller tune on #COVID19 awareness in the voice of actor Amitabh Bachch…,0,,,,,
9,RT @iyzdham: Pretty sure we’re not going to uni for the upcoming semester 🥰,0,,,,,
10,"Did you volunteer in your community during the #COVID19 pandemic? Help researchers at @PublicHealthW  look at the way different communities supported each other. Use your experience to help develop their research: https://t.co/F8rj62NmOC

@MerthyrCBC @cardiffcouncil https://t.co/rPAKZPL2ih",0,,,,,
11,"Heard someone filed a PIL in removing of A. Bachchan's voice from Corona Tune.
""Jinki Hasiyat Dusre ke khairat pe tiki ho wo Aukat ki baat na karen"",
Dhanyawad.
@nilotpalm3 @republic
#DishaSSRJusticePending",0,,,,,
12,"Prioritise COVID-19 vaccines for first responders (police, fire, ambulance) once the most vulnerable have received theirs first responders should be vaccinated along side NHS workers

PLEASE SHARE 
Sign the petition:
https://t.co/eE8MOzVyul

#vaccine #covid19 @BorisJohnson https://t.co/iZ6lXdGzC5",0,,,,,
13,"Due to COVID19 I’ll be blessing the first 450 people to like &amp; retweet this $500 - $3500 through CashApp, Venmo , Apple Pay and Zelle💖

Dm “how “ for payment 💵 💰",0,,,,,
14,I think we’ll be at ~250k cases and ~2k deaths by the time we complete the vaccination program.,0,,,,,
15,RT @naddysushi: Are we even surprised- Idk,0,,,,,
16,"#COVID19 Grammy awards rescheduled for March 14
https://t.co/ZZzqsoUcfi",0,,,,,
17,"#HappyAnniversary to you and Gry, Erik. Though the circumstances may be difficult, a blessing to be able to share this day together. Wishing you both a speedy recovery. -Sg @ErikSolheim",0,,,,,
18,and school still open in two weeks + spm coming soon,0,,,,,
19,Congrats,0,,,,,
20,Today in my dream I saw that a team of 3 people had come to my house for the corona vaccine (like they do for polio drops) and when they ask for my dad he is scared of the injection needle lmao i have the weirdest dreams wtfff,0,,,,,
21,"AN OPEN LETTER TO PM-8

* Beyond 'lockdowns', Pls form the COVID19 Task Force of 'Subject-Matter Experts' Urgently, as to Steer the nation out of this 3rd-Wave Disaster

Its Oversight role is to ensure these 10 Critical Actions implemented &amp; review-audit Health-Economics lmpact. https://t.co/yxrY2Pllzn",0,,,,,
22,"AN OPEN LETTER TO PM-8

* Beyond 'lockdowns', Pls form the COVID19 Task Force of 'Subject-Matter Experts' Urgently, as to Steer the nation out of this 3rd-Wave Disaster

Its Oversight role is to ensure these 10 Critical Actions implemented &amp; review-audit Health-Economics lmpact. https://t.co/yxrY2Pllzn",0,,,,,
23,"https://t.co/28taSlqmlS

Meeting ID: 742 8067 1050
Passcode: q0Z1Y5

Time: Jan7, 2021 - 15 Uhr pm (MEC)
#zoom #zoommeeting #raid #corona #trump",0,,,,,
24,"Condominium Research Co., Ltd. &gt; “Corona 3rd wave” has a huge impact December 2020 23 wards of Tokyo Second-hand condominium sales market is sluggish Compared to the same month of the previous year, the rate of increase / decrease https://t.co/fgk9vyqhRe",0,,,,,
25,"So Stan Grant says ""it's all about being able to live with the corona virus isn't it"" when agreeing with Greg Hunt.   Onya Stan, your credibility is totally shot. #auspol #abc730",0,,,,,
26,RT @kaaarthikk: #Thala for a reason!! Fan's health comes first!! @sumanthraman,0,,,,,
27,Aight pack your bag we’re staying at home a lil longer now,0,,,,,
28,"#HappyAnniversary to you and Gry, Erik. Though the circumstances may be difficult, a blessing to be able to share this day together. Wishing you both a speedy recovery. -Sg @ErikSolheim https://t.co/tGvcD1cQkB",0,,,,,
29,"FREE #COVID19 Respiratory Therapy Update Session 

Saturday 9th January 09:00 - 16:30

For Newly Qualified Physios/ Students or ANYONE that would like a ICU/Respiratory refresher

@WeAHPs @ARNS_UK @BACCNUK @ARTP_News @BTSrespiratory @ICS_updates @TheACPRC

https://t.co/vkVX6CPGT6",0,,,,,
30,"Yeoreobun pls stay safe 😭🥺🥺🥺🙏🏻🙏🏻 3,027 ??! Seriously is a huge amount so far 😭😭😭",0,,,,,
31,"RT @daily_trust: #COVID19 Grammy awards rescheduled for March 14
https://t.co/ZZzqsoUcfi",0,,,,,
32,@narendramodi What happened to 'Ab Ki Baar Trump Sarkar'? Didn't you Campaign for your 'friend' and subvert our foreign policy? You even wasted ₹100 crores of public money on Namaste Trump when Corona was upon us.,0,,,,,
33,Bruh whut,0,,,,,
34,"If you receive a letter from the NHS or your GP stating that you're clinically extremely vulnerable, it's vital that you begin shielding. 

Please see the NHS website for more information. 👇

https://t.co/QUy3MCEXO6 

#Covid19",0,,,,,
35,"@GovJVentura mask believer?

huh... what some people think

everyday masks might stop 50μ particles, N95 30μ, but a Corona virus is 0.3μ

it's like trying to stop mosquitoes with a chainlink fence
🦟🦟🦟🦟

MASKS DO NOTHING!

except showing your submission to tyranny

🤪🔥💥💀",0,,,,,
36,"RT @aproko_doctor: Shouting ""God forbid"" and winding your hand around your head is not a way to prevent COVID19.

Wear a mask and avoid cro…",0,,,,,
37,"RT @HausofHilton: Difference between corona, flu and cold https://t.co/3o17SA3wLq",0,,,,,
38,"China. Full circle. 
I mean I wanna leave the U.S. but corona started there... https://t.co/GL81EHnljB",0,,,,,
39,"At this point, our government really gives no shit about us.",0,,,,,
40,"We've reached a sad milestone that nobody wanted to happen.We've now 1,022 patients very sick in hospital with #COVID19 &amp; 88 in ICU. It concerns me relaying this. But I do know we will get through a tough time ahead, with your help. At the other side, it will be better. @HSELive",0,,,,,
41,RT @Usmanislost: There's still people that still think corona virus is all fake,0,,,,,
42,"@VinaySi71847070 @hbtualumni @myogiadityanath @narendramodi @myogioffice Why our college is conducting offline exam in such a pandemic situation where there is a high risk of Corona infection
#hbtu #online_exam #hbtu_demands_online_exam 
@hbtualumni
 
@myogiadityanath

@narendramodi
 
@myogioffice

Please consider our request",0,,,,,
43,"Very interesting how dedicated Dept of Health on #Covid19 stats not on improving health care facilities, filling posts in public sector. Dr Zweli hard working minister😂😂😂😂",0,,,,,
