,0
47,"Black people are nearly 3x more likely than white people to get false readings from pulse oximeters – which are used commonly for #COVID19.

The device, which measures blood oxygen levels, gave misreadings to Black patients ~1 in 10 times due to dark skin tone, says a new study. https://t.co/boYQ1v1PPo"
48,RT @Jim_Jordan: #COVID19 didn’t close schools. Government did.
49,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
50,"I know you've heard that we've witnessed 1000 deaths a day since mid-Sept and 3000 deaths a day every day in December reportedly. But that is NOT the case. The CDC adds deaths each day and we show you how they accumulate by month.

Here are #COVID19 deaths by week w/months 
1/ https://t.co/F0SvjoybFp"
51,"All @America should rise up! We R NOT experiments to #COVID19 #vaccines! We have immune systems, early intervention #medicatons. We have vitamins. #StopTheLockDowns #BurnTheMask #StopTheStupid lies and #Fake #coronavirus #deaths #Americans are strong, stop stealing our #freedom"
52,RT @Jim_Jordan: #COVID19 didn’t close churches. Government did.
53,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did. https://t.co/KGhoN57GBd
54,JUST IN - WHO: No evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus. https://t.co/bi8GP6xEdk
55,RT @JennaEllisEsq: This is insane.
56,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
57,RT @JennaEllisEsq: This is insane. https://t.co/s0BNNFJNJI
58,"RT @rolling_enigma: My latest column's out.
Please read &amp; RT.

#Ottawa #RyanLythall"
59,"This is why the vaccinated are told to continue to mask up and social distance. 

So, why submit to the vaccine?

I will not comply, what about you?"
60,"RT @disclosetv: NEW - @BioNTech_Group⁩ CEO claims: ""#COVID19 will stay with us for the next 10 years. We need a new definition of normal. “"
61,"🧵As an ER doctor, I’ve seen firsthand #COVID19 indiscriminately young people. This ongoing thread is dedicated to the 1000s between 18 and 45 killed by COVID &amp; ignored by Trump

@realDonaldTrump:[They] don’t talk about deaths, because deaths are WAY down
https://t.co/8qfLAcM5Tc"
62,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
63,"I CAN’T BELIEVE I’M WRITING THIS. With deep sadness my family locks arms with the families that lost loved ones to #COVID19. My Uncle Ray(Paular) was an amazing force that walked the earth,touching many lives. In these times,we urge others to protect themselves &amp; their families. https://t.co/3OK30AnDob"
64,"“Janel Cubbage, a Bloomberg Fellow who is a co-author of the research letter, points to the national tension over racism and police brutality as another potential contributing factor”

1/2"
65,@BeachPretzel2 @Dadbod97992267 Until my dying day I will never believe @realDonaldTrump had #COVID19
66,"“These slow and misleading tests harm drug makers, patients, and puppies, all of whom need relief now — a call with particular urgency during the #Covid19 pandemic.”  

- WCW VP on our campaign to ✂️#FDARedTape✂️ &amp; save 🐶 🥼🗑️ w/@LouiseLinton 

https://t.co/boEK9JHMxE"
67,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
68,"RT @10NewsFirstMelb: #Covid19 Milestone: Victoria has hit its 60th day without a single  COVID community transmission case! 
Well done!"
69,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
70,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
71,Our in-house protocol @Hopitaux_unige @unige_en @gcevd for partial #SARSCoV2 #COVID19 spike amplification &amp; Sanger sequencing of regions indicative of #deletions &amp; #mutations for #UKvariant #B117 Huge thanks to our team &amp; especially @BenjaminMeyer85  https://t.co/iQxlYGly0n
72,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
73,"""It's not just #COVID19 that is killing people,
it's underprivilege,
it's lack of access,
it's years of living with health conditions that haven't been properly managed because of the colour of your skin, or your ethnicity, or your social group""- @DrMikeRyan #HealthForAll https://t.co/FCdEi3TGt5"
74,"Your government, the Donald didn't do his job.
He thinks he is all knowing.
The greatest, the bestest, bigly intelligent, ""I'm the only one who can do it """
75,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
76,"""It's not just #COVID19 that is killing people,
it's underprivilege,
it's lack of access,
it's years of living with health conditions that haven't been properly managed because of the colour of your skin, or your ethnicity, or your social group""- @DrMikeRyan #HealthForAll https://t.co/FCdEi3TGt5"
77,"RT @inky_mark: Who ever forms the next must have an inquiry into all the liberal covid19 spending,  there must be accountability for $1.6 T…"
78,"When draconian measures fail: Go further

SPAIN TO SET UP ""REGISTRY"" OF PEOPLE WHO REFUSE TO TAKE COVID19 VACCINE AND SHARE IT WITH EUROPEAN UNION

SOUTH AFRICA PRESIDENT BANS ALCOHOL SALES, ORDERS NEW MASK-WEARING RULES

CA GOV NEWSOME TO EXTEND STAY AT HOME ORDERS IN LA COUNTY"
79,"As I stated from beginning,, “Yunnan mine cave - origin of #COVID19” is a sophisticated tactic designed by CCP, and many scientists were misled by fake “confidential files/clues”. 
Finally Shi Zheng-Li etc will be thrown out as scapegoats for CCP’s biowarfare
Evidences tell it!"
80,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
81,RT @volqx: Corona virus is real and doesn’t know age or size. Stay safe.
82,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
83,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
84,"#COVID19 is an invisible enemy.
The first 6 days after infection are mostly asymptomatic. Mild symptomes occure after 8 days and it's going to be dramatic after 10-12 days. That's the point of time, when the patient disappears from view of the public on an ICU. Sometimes forever."
85,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
86,"When I talked about the SEETHING resentment that my country and others harbor towards African nations for having virtually nonexistent COVID19 rates AND refusing to offer up their citizens as vaccine guinea pigs, folks thought I was nuts."
87,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
88,"The excellent public health response by the Queensland government continues to keep their population safe, and by extension, all Australians. #qldpol #auspol #covid19AUS https://t.co/7sAzODtrqJ"
89,"ICYMI: Earlier this month @ColumbusGov announced the Right to Recover program which offers financial assistance to Columbus residents taking time off work to isolate &amp; recover from #COVID19.

For more info or to apply, call (614) 484-9111 or visit https://t.co/FhFqzVrOaD. https://t.co/dMcUM1vybG"
90,@nbcchicago Why do you keep misleading everyone about Indiana’s corona virus stats. You keep showing unique individuals. @GovHolcomb you should be away NBC Chicago keeps making us look bad. See our real stats. https://t.co/SETiySC5bx https://t.co/d04TNNSSPv
91,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
92,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
93,RT @CIDRAP: US sees a record number of #COVID19 deaths in December https://t.co/K3owpnVvkx https://t.co/NdcAJoTMOn
94,"RT @WHO: As #COVID19 vaccines are being developed, discover how vaccines work 🔬"
95,"The Chinese mainland reported 27 new confirmed #COVID19 cases on Monday, 15 locally transmitted and 12 imported, the National Health Commission said on Tuesday.
https://t.co/zorpMi7w2m"
96,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
97,"Another historic day! Proud to announce a 5th #COVID19 vaccine candidate funded by #NIH &amp; @BARDA began enrollment for its Phase 3 clinical trial. NVX-CoV2373, developed by @Novavax, will enroll up to 30k volunteers from U.S./Mexico. https://t.co/K9w2dxFmww"
98,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
99,RT @Jim_Jordan: #COVID19 didn’t close restaurants. Government did.
100,RT @JennaEllisEsq: This is insane. https://t.co/s0BNNFJNJI
101,"According to @nytimes ”Most had no history of mental illness &amp; became psychotic weeks after contracting the virus. Cases are expected to remain rare but are being reported worldwide.” It’s not the medications causing it, #COVID19 can  produce  psychotic behavior🦇🔥@PhilipDMorton"
102,RT @GarrettClif: CDC admits at least 96% of deaths from Covid19 were WRONG! - NewTube https://t.co/7oBAKtv2ph
103,"Three big stories in this SAGE advice

— they're urging schools (especially secondary schools) to stay closed
— they're saying a stricter national lockdown may be needed in January
— immunity recognition concerns re South African strain https://t.co/eHEdeLozMd"
104,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
105,"RT @newschambers: 765 new cases. One additional death reported.

#COVID19"
106,"In one brief tweet, #JimJordan encapsulates the willfully ignorant, defiant attitude — the dangerous denial — that now dominates today’s #Trumpist #Republican Party. Meanwhile, churches across America suffer #COVID outbreaks (even in my city). #Trumpism is a public health menace. https://t.co/wy3qM3vqFt"
107,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did. https://t.co/KGhoN57GBd
108,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
109,"@USNavy photos of the day: @VP calls #USSNimitz Christmas day, @moderna_tx #COVID19 vaccinations at NavHospBremerton @MyNHB, #USSJohnSMcCain approaches #USNSAlanShepard for #UNREP and #USSMakinIsland conducts #FltOps.  ⬇️ info &amp; download ⬇️: https://t.co/5dT6zorERq https://t.co/5zAqUXYx47"
110,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
111,RT @Jim_Jordan: #COVID19 didn’t close churches. Government did.
112,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
113,"@jaketapper Hi, May You Please Donate &amp; Share (Retweet &amp; Facebook) To Help My Cousin Needs Your Help/Love She’s A Victim Of A Hate Crime #COVID19 #Flipthesenate  #BLM  #WW84 #Fundraisingtwitter #5Gsfor5G #StopRacism #Blessing @gofundme @beyonce #gunviolence #Boost https://t.co/3nEQW5K4r5"
114,Please join.
115,"@cyclingkev @NEUnion Professor of Infectious Diseases and NHS Consultant is reporting that on the wards today, large family outbreaks with teenagers/young adults the focus. 

Multiple family members being admitted. 
#COVID19 #schoolsreopening #CloseTheSchools #Covid19UK https://t.co/mXWCyTXsrF"
116,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
117,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
118,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
119,i’m sad and cant wait time get shot up with corona lite!
120,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
121,RT @rising_serpent: You just can't make this shit up.
122,"I often hear this complaint: ""Why doesn't the media show more film &amp; photos of patients suffering w#COVID19 ? Deniers would have a harder time claiming it's no big deal.""
But reporters &amp; cameras are blocked. And yes, it was #Trump idea:
https://t.co/f1N4Yjnd7O"
123,RT @JennaEllisEsq: This is insane.
124,@SkartveitNancy We the General Public will most likely not receive our first shot till the end of April 2021 and 2nd shot mid to end of May.  It’s a complicated distribution process #COVID19
125,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
126,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
127,RT @GarrettClif: CDC admits at least 96% of deaths from Covid19 were WRONG! - NewTube https://t.co/7oBAKtv2ph
128,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
129,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
130,"The head of the @Secretgrassroo2 fanclub, @TheSecretFound2 with these sage words about youth football 👏🏿

#lockdown #mondaythoughts #COVID19 #level5 https://t.co/aMEQAsVSDp"
131,"REPORT: Lil Pump banned from JetBlue airline for refusing to wear a mask

“F**k JetBlue, f**k everybody that work in there, n***a. Y'all bitches some bums. All 202021, I ain't wearing no mask, I ain't gotta wear no f**king mask bitch. Corona's fake. Bye""

https://t.co/8kGUEwkW3b"
132,"If China is telling the rest of the world that #Covid19 was actually introduced to #China by Australian meat products, you would think they'd be jumping up and down DEMANDING the enquiry they are hell bent on stopping.
Why arn't they?
#ChinaLies
#China2Faced
#BoycottChinaGoods"
133,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
134,RT @Jim_Jordan: #COVID19 didn’t close schools. Government did.
135,"Dear @ATO_gov_au, I know you have a keen interest in preventing fraud. Your site says superannuation release is only for those “adversely financially affected by COVID-19”.  Is my Liberal colleague encouraging people to break the law by accessing super to buy a home? #auspol"
136,Dr. Richard Strauss sexually abused 177 wrestlers at Ohio State University and guess who covered it up? @Jim_Jordan did.
137,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
138,this year has been longg. 😭🤣🤣
139,"#IndiaFightsCorona: 

📍#COVID19 safety tips after shopping 

➡️Remove &amp; leave footwear outside the house
➡️Sanitize hands, mobile phones &amp; keys
➡️Wash hands with soap and water after handling packages 
➡️Keep shopping bags at a designated/isolated place 
 
#Unite2FightCorona https://t.co/oBOjvsSQGr"
140,"When I talked about the SEETHING resentment that my country and others harbor towards African nations for having virtually nonexistent COVID19 rates AND refusing to offer up their citizens as vaccine guinea pigs, folks thought I was nuts."
141,Hold on - the Govt has stated quite clearly that the early access scheme is for people experiencing financial hardship as a result of COVID. The eligibility criteria is listed on the ATO website here: https://t.co/D31er8A5Bd https://t.co/loc84D4n9D
142,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
143,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
144,@LDTFerguson @MichaelPascoe01 @woolkebb Because he’s in this same Prosperity Cult he got away with spreading Covid19 all over Australia to get his in-laws off the #RubyPrincess Disgraceful I feel so hopeless in the face of this government’s constant entitlement &amp; corrupt Coverups #auspol
145,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
146,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
147,Will @senatemajldr @SRCC and @SenateGOP lose the @GOP Senate majority @NRSC tomorrow by defying @realDonaldTrump and denying #COVID19 Relief of #2000StimulusCheck? Georgians will be WATCHING you tomorrow! #SenateGOP #GeorgiaRunoff #StimulusCheck
148,Corona isn't a disease it's just a djinn jahat that got stuck in your body
149,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
150,"When I talked about the SEETHING resentment that my country and others harbor towards African nations for having virtually nonexistent COVID19 rates AND refusing to offer up their citizens as vaccine guinea pigs, folks thought I was nuts. https://t.co/x3JZe7PiTu"
151,RT @Jim_Jordan: #COVID19 didn’t close hundreds of thousands of small businesses. Government did.
152,"Churches didn't close. 

Christians shifted how they do ministry, conduct worship &amp; offer care to smaller venues, online, outside - it has unleashed a flood of creativity, innovation &amp; hard work by leaders &amp; laity. 

Also, Sunday School 101: The church isn't a building."
153,RT @petermaer: “I think we’re now in a viral tsunami.” #UCLA epidemiologist Dr. Robert @Kim-Farley. #COVID19 @CBSEveningNews
154,Shut up you fool!
155,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
156,"SAGE's new advice is that the R rate might be kept below 1 if schools stay closed in January

They found that closing secondary schools would have a bigger impact than shutting primary schools

If they’re kept open R surges further above 1

https://t.co/LyFsGH0qKq"
157,RT @JennaEllisEsq: This is insane. https://t.co/s0BNNFJNJI
158,"@USNavy photos of the day: @VP calls #USSNimitz Christmas day, @moderna_tx #COVID19 vaccinations at NavHospBremerton @MyNHB, #USSJohnSMcCain approaches #USNSAlanShepard for #UNREP and #USSMakinIsland conducts #FltOps.  ⬇️ info &amp; download ⬇️: https://t.co/5dT6zorERq https://t.co/5zAqUXYx47"
159,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
160,"When I talked about the SEETHING resentment that my country and others harbor towards African nations for having virtually nonexistent COVID19 rates AND refusing to offer up their citizens as vaccine guinea pigs, folks thought I was nuts."
161,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
162,"It is with a heavy, broken heart that I learn of my friend @blancas_DSSE’s passing. Such a caring, amazing ⁦⁦@SocorroISD⁩ teacher and gone far too soon. I am saddened for the lives lost and prolonged illnesses for so many due to #COVID19. #kindness #pinksocks #ElPaso https://t.co/WV7OV33IYM"
163,RT @Jim_Jordan: #COVID19 didn’t close churches. Government did.
164,"Drag down wages and white ant super, the Morrison-Wilson “New Liberal” formula camouflaged by a sudden concern for home ownership # auspol"
165,"As I stated on @AriMelber @TheBeatWithAri this evening, if I was advising @POTUS @realDonaldTrump right now, I would have him invoke the Production Defense Act and mandate all capable companies produce the #COVID19 vaccine to ensure the fastest inoculation. #Disloyal #MeaCulpa https://t.co/hcINEiJ6Bv"
166,The @pfizer #COVID19 vaccine must be carefully extracted from its vial to ensure a proper dose. A German vaccinator goofed. Ach! https://t.co/BzB5p1MOEA
167,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
168,"The World Health Organization has just stated there is no evidence yet that vaccines will prevent #COVID19 infections and therefore stop the transmission of the virus.

In that case, why are we doing this?"
169,"As I stated from beginning,, “Yunnan mine cave - origin of #COVID19” is a sophisticated tactic designed by CCP, and many scientists were misled by fake “confidential files/clues”. 
Finally Shi Zheng-Li etc will be thrown out as scapegoats for CCP’s biowarfare
Evidences tell it! https://t.co/3f3PWSa0AX"
170,RT @JennaEllisEsq: This is insane. https://t.co/s0BNNFJNJI
171,Ecliff Elie weathers covid19 storm - TT Newsday https://t.co/sydUunrE6J https://t.co/ELq9hoCQkc https://t.co/aUxWceG2jE
172,"Covid-19 is a 'Pandemic' (99%+ survival rate).

Pandemics typically kill 17M-100M people world-wide.

The Seasonal Flu usually kills up to 4M people ww.

Medical folks get paid MORE for COVID-19; is't any surprise that the SEASONAL FLU has currently disappeared?

@realDonaldTrump https://t.co/7E2QhfbRjy"
173,"""All we keep asking for is electricity... and to be able to wash our clothes and get phone calls."" 
- Woman incarcerated in #COVID19 positive unit at CCWF

Instead, women were put in cages (see image below) for asking for what they need. #StopCCWFOutbreak #CareNotCages https://t.co/D6T2YZVyEb"
174,"@PeerNazia @MrAhmednurAli @vawelch Thanks Nazia!!

https://t.co/2NjbvZHuBs"
175,"One year ago, all of us live in a normal world.
Kids play with friends outside.
Seniors enjoy gatherings with their family.
We go traveling, without masks, so strangers can see our smiles.
Many many innocent people made plans for 2020, which didn’t became true🙏🏻
#COVID19"
176,"#Québec#Montréal
#CoVid19 #masks

The short answer? They don't know. They are not sure.

They think you would not get sick but could transport the virus to another if in contact with an infected person. 

[Question: after receiving CoVid19 vaccine do i still need to wear a mask?]"
177,"Women Count in 2020 https://t.co/F7gZgzfsZW. It is fair to say that #COVID19 was no match for @UN_Women's brilliant #WomenCount global team. Wishing everyone a happy, well-deserved holiday"
178,"Speechless. Praying for his wife and young kids. Will miss you, Luke."
179,Sounds like the bugger escaped!😏
180,RT @tracybeanz: This will NEVER END. The only way this ends is if the people take back their power. Start being free.
181,"RT @BooDestini: Due to COVID19 I’ll be blessing the first 450 people to like &amp; retweet this $500 - $1500 through CashApp, Venmo , Apple Pay…"
182,"4,000 winners can join #Airdrop IV to claim from 200 $MONI ($5,000) + 300 $BUSD. Distribution is 21st January.

Tasks
1. Follow @CoinMoni
2. Join https://t.co/xE0Fowg6se
3. Retweet, comment BEP20 wallet &amp; Telegram ID and tag 4 friends.
#gifts #BSC #btc #COVID19 #BinanceResolution https://t.co/PrImRRvJ3E"
183,I just lost a friend tonight over my defensive wearing masks. My friend told me he wears Masks only in public in stores who is not to argue with people but that he doesn't really believe in them at all or in the false claims that hospitals are being filled up with #COVID19 /3
184,"RT @TGranicAllen: Who else is fed up of weak and spineless politicans, who hide behind their asinine laws, which are destroying families? #…"
185,"Newly revealed documents detail the utter mess that was the Trudeau government’s #COVID19 pandemic response. This is excellent journalism. Far from listening to experts, Liberals dismantled our pandemic response system at the worst possible time. #cdnpoli

https://t.co/NsmOeu6MiG"
186,"#Maryland biotech Novavax is starting the final stage of testing in the #US and #Mexico for its experimental #COVID19 vaccine
#Covid #pandemic #coronavirus 
https://t.co/fhOCw8UeXL"
187,"RT @Rozapepper: Album dey sleep on charts, but stream no counts 😰

Corona will soon go, touring go start

We go see song u go dey play for…"
188,RT @GregHilburn1: BREAKING: Louisiana Congressman-elect Luke Letlow dies with #COVID19 #lagov #la05 #lalege  https://t.co/DaUG9XAPOT via @t…
189,RT @GregHilburn1: BREAKING: Louisiana Congressman-elect Luke Letlow dies with #COVID19 #lagov #la05 #lalege  https://t.co/DaUG9XAPOT via @t…
